Username,Password,Firsttimelogin,Type
chongzhihao,password,true,student
ngjiahao,password,true,student
limyixuan,password,true,student
wongshuhui,password,true,student
tanweiling,password,true,student
tanboonkiat,password,true,staff
leimeiling,password,true,staff
snghuilin,password,true,staff
lutheranand,password,true,companyrep
jasonlim,password,true,companyrep
aliciatan,password,true,companyrep
ryankoh,password,true,companyrep
sarahong,password,true,companyrep
michellegoh,password,true,companyrep
